ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
1,"শব্দ যখন বাক্যে ব্যবহৃত হয় তখন তাকে কি বলে?",প্রত্যয়,পদ,বিভক্তি,শব্দ,Option B,"শব্দ যখন বাক্যে স্থান পায় এবং বিভক্তিযুক্ত হয়ে অর্থ প্রকাশ করে, তখন তাকে 'পদ' বলে।"
2,"উপমান কর্মধারয় সমাস এর সঠিক উদাহরণ কোনটি?",চাঁদমুখ,তুষারশুভ্র,সিংহপুরুষ,মুখচন্দ্র,Option B,"'তুষারের ন্যায় শুভ্র' = তুষারশুভ্র। এটি উপমান কর্মধারয় সমাসের উদাহরণ।"
3,"বিশেষণ পদ এর সাথে 'কৎ' প্রত্যয়যোগে গঠিত শব্দ কোনটি?",চলন্ত,খেলোয়াড়,পানসে,লিখিত,Option C,"'পানি' (বিশেষ্য) + 'সে' = পানসে। এটি বিশেষণ হিসেবে ব্যবহৃত হয়। (Note: Based on exam marking key)."
4,"নিচের কোনটি নিপাতনে সিদ্ধ সন্ধির উদাহরণ?",গৈরিক,শৈশব,সাহিত্যিক,তস্কর,Option D,"তস্কর (তৎ + কর) একটি নিপাতনে সিদ্ধ সন্ধির উদাহরণ।"
5,"রবীন্দ্রনাথ ঠাকুরের 'গল্পগুচ্ছ' এর অন্তর্ভুক্ত গল্প নয় কোনটি?",পোস্টমাস্টার,খোকাবাবুর প্রত্যাবর্তন,কাবুলিওয়ালা,নৌকাডুবি,Option D,"'নৌকাডুবি' রবীন্দ্রনাথ ঠাকুরের একটি উপন্যাস, ছোটগল্প নয়।"
6,"'যে অন্য দিকে মন দেয় না' - এক কথায় কী হবে?",অনন্যমন,অনন্যমনা,অন্যমনা,অন্যমনস্ক,Option B,"সঠিক বাক্যটি হলো 'অনন্যমনা'।"
7,"'চর্যাপদ' মূলত কোন ভাষার আদলে রচিত?",প্রাকৃত,পালি,অপভ্রংশ,সংস্কৃত,Option C,"চর্যাপদ মূলত প্রত্ন-বাংলা বা অপভ্রংশ ভাষার আদলে রচিত।"
8,"কোনটি বিমূর্ত বিশেষ্য?",নদী,বই,সৌন্দর্য,কাঁঠাল,Option C,"'সৌন্দর্য' ধরা বা ছোঁয়া যায় না, কেবল অনুভব করা যায়, তাই এটি বিমূর্ত বিশেষ্য (Abstract Noun)।"
9,"'কাজ' শব্দটি কোন পদ?",ক্রিয়া,বিশেষ্য,সর্বনাম,বিশেষণ,Option B,"'কাজ' একটি কাজের নাম বোঝাচ্ছে, তাই এটি বিশেষ্য পদ (Noun)।"
10,"'দ্রুত' শব্দটি কোন পদ?",বিশেষ্য,ক্রিয়া বিশেষণ,বিশেষণ,অব্যয়,Option B,"'দ্রুত' ক্রিয়াকে মডিফাই করে (যেমন: দ্রুত চল), তাই এটি ক্রিয়া বিশেষণ (Adverb)।"
11,"'প্রভাতচিন্তা' কার রচিত গ্রন্থ?",বঙ্কিমচন্দ্র চট্টোপাধ্যায়,প্যারীচাঁদ মিত্র,কালীপ্রসন্ন ঘোষ,শিবনাথ শাস্ত্রী,Option C,"'প্রভাতচিন্তা' কালীপ্রসন্ন ঘোষের রচিত প্রবন্ধ গ্রন্থ।"
